ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m,z_vol_30m,z_vol_1h,z_max_trade_size_1h,z_price_change_30m,flag_volume_spike_30m,flag_big_trade_1h,flag_price_jump_30m,suspicion_score
KXNBATOTAL-25NOV05WASBOS-214,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,2032,2032,1944,360,4,187,-172,23,1,23,-23,0.1699999999999999,-0.2490210028572812,-0.27493366727035173,-0.36712566110543915,0.6927636318406099,False,False,True,0.13599999999999993
KXNBASPREAD-25NOV05UTADET-UTA5,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,3087,3087,2057,575,6,496,-425,42,2,39,42,0.12,-0.24359850666303637,-0.23066093502069768,0.0715002882491628,0.48713477109836917,False,False,False,0.13175014412458141
KXNBASPREAD-25NOV05PHICLE-CLE25,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,3879,3879,3778,3000,16,500,-2460,636,3,439,-364,-0.1,-0.07407415195875001,0.2686943008184237,0.07717829406605084,-0.4176322161674917,False,False,False,0.11858914703302544
KXNBATOTAL-25NOV05UTADET-224,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,2329,2329,1802,547,3,500,-453,547,3,500,-453,-0.07,-0.09947426571073904,-0.23642668619739682,0.07717829406605084,-0.294254899722147,False,False,False,0.09458914703302543
KXMAMDANIMENTION-25NOV06-NYPD,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,7310,7310,6435,11,1,11,11,11,1,11,11,-0.0999999999999999,-0.25244573729575165,-0.3467996372942088,-0.6169579170485134,-0.41763221616749124,False,False,False,0.07999999999999992
KXTRUMPMENTIONB-25NOV06-COMM,KXTRUMPMENTIONB-25NOV06,Mentions,2025-11-06 01:51:47.503473+00:00,4008,4008,2982,161,3,93,-161,68,2,58,-68,0.0899999999999999,-0.2361782487130171,-0.315911684561892,-0.5005587978023084,0.3637574546530241,False,False,False,0.07199999999999993
KXNCAAMBTOTAL-25NOV05UMESUGA-126,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,700,700,700,700,2,500,-700,0,0,0,0,0.0,-0.25558507719768286,-0.2049209744104337,0.07717829406605084,-0.006374494683009475,False,False,False,0.03858914703302542
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM17,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,1434,1434,1229,750,4,500,750,0,0,0,0,0.0,-0.25558507719768286,-0.19462499016632812,0.07717829406605084,-0.006374494683009475,False,False,False,0.03858914703302542
KXNCAAMBTOTAL-25NOV05DSUTEM-139,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,722,722,722,701,4,500,699,0,0,0,0,0.0,-0.25558507719768286,-0.2047150547255516,0.07717829406605084,-0.006374494683009475,False,False,False,0.03858914703302542
KXNBASPREAD-25NOV05BKNIND-IND15,KXNBASPREAD-25NOV05BKNIND,Sports,2025-11-06 02:55:08.052898+00:00,1723,1723,1700,500,1,500,-500,0,0,0,0,0.0,-0.25558507719768286,-0.24610491138685608,0.07717829406605084,-0.006374494683009475,False,False,False,0.03858914703302542
