ticker,event_ticker,status,close_time,volume
KXNBASPREAD-25NOV05WASBOS-BOS1,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:14.589837Z,3029
KXNBATOTAL-25NOV05BKNIND-247,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:06.754032Z,1699
KXNBATOTAL-25NOV05BKNIND-244,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:06.40864Z,1500
KXNBATOTAL-25NOV05BKNIND-241,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:05.961363Z,1913
KXNBATOTAL-25NOV05BKNIND-238,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:05.564833Z,2402
KXNBATOTAL-25NOV05BKNIND-235,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:05.206703Z,3716
KXNBATOTAL-25NOV05BKNIND-232,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:04.856376Z,95648
KXNBATOTAL-25NOV05BKNIND-229,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:04.495308Z,16464
KXNBATOTAL-25NOV05BKNIND-226,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:04.052565Z,4520
KXNBATOTAL-25NOV05BKNIND-223,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:03.606337Z,7655
KXNBATOTAL-25NOV05BKNIND-220,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:03.201715Z,3542
KXNBATOTAL-25NOV05BKNIND-217,KXNBATOTAL-25NOV05BKNIND,settled,2025-11-06T02:55:02.697175Z,15004
KXNBATOTAL-25NOV05UTADET-245,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:21.691384Z,576
KXNBATOTAL-25NOV05UTADET-242,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:21.431366Z,500
KXNBATOTAL-25NOV05UTADET-239,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:21.218876Z,1116
KXNBATOTAL-25NOV05UTADET-236,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:20.981757Z,3370
KXNBATOTAL-25NOV05UTADET-233,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:20.678186Z,16077
KXNBATOTAL-25NOV05UTADET-230,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:20.376204Z,7181
KXNBATOTAL-25NOV05UTADET-227,KXNBATOTAL-25NOV05UTADET,settled,2025-11-06T02:50:19.965027Z,3505
